Date,User
2020-10-12,dibyo
2020-10-13,nikthoma
2020-10-14,sashture
2020-10-15,sbws
2020-10-16,jerop
2020-10-17,
2020-10-18,
2020-10-19,vdemeest
2020-10-20,andrea.frittoli
2020-10-21,wlynch
2020-10-22,christiewilson
2020-10-23,dibyo
2020-10-24,
2020-10-25,
2020-10-26,andrea.frittoli
2020-10-27,wlynch
2020-10-28,dibyo
2020-10-29,nikthoma
2020-10-30,sashture
2020-10-31,
2020-11-01,
2020-11-02,sbws
2020-11-03,jerop
2020-11-04,vdemeest
2020-11-05,andrea.frittoli
2020-11-06,wlynch
2020-11-07,
2020-11-08,
2020-11-09,dibyo
2020-11-10,nikthoma
2020-11-11,sashture
2020-11-12,sbws
2020-11-13,jerop
2020-11-14,
2020-11-15,
2020-11-16,vdemeest
2020-11-17,andrea.frittoli
2020-11-18,wlynch
2020-11-19,dibyo
2020-11-20,nikthoma
2020-11-21,
2020-11-22,
2020-11-23,sashture
2020-11-24,sbws
2020-11-25,jerop
2020-11-26,vdemeest
2020-11-27,andrea.frittoli
2020-11-28,
2020-11-29,
2020-11-30,wlynch
2020-12-01,dibyo
2020-12-02,nikthoma
2020-12-03,sashture
2020-12-04,sbws
2020-12-05,
2020-12-06,
2020-12-07,jerop
2020-12-08,vdemeest
2020-12-09,andrea.frittoli
2020-12-10,wlynch
2020-12-11,dibyo
2020-12-12,
2020-12-13,
2020-12-14,nikthoma
2020-12-15,sashture
2020-12-16,sbws
2020-12-17,jerop
2020-12-18,vdemeest
2020-12-19,
2020-12-20,
2020-12-21,andrea.frittoli
2020-12-22,wlynch
2020-12-23,dibyo
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
2021-01-01,wlynch
2021-01-02,
2021-01-03,
2021-01-04,dibyo
2021-01-05,nikthoma
2021-01-06,sashture
2021-01-07,sbws
2021-01-08,jerop
2021-01-09,
2021-01-10,
2021-01-11,vdemeest
2021-01-12,andrea.frittoli
2021-01-13,wlynch
2021-01-14,dibyo
2021-01-15,nikthoma
2021-01-16,
2021-01-17,
2021-01-18,sashture
2021-01-19,sbws
2021-01-20,jerop
2021-01-21,vdemeest
2021-01-22,andrea.frittoli
2021-01-23,
2021-01-24,
2021-01-25,wlynch
2021-01-26,dibyo
2021-01-27,nikthoma
2021-01-28,sashture
2021-01-29,sbws
2021-01-30,
2021-01-31,
