Date,User
2020-06-16,sbws
2020-06-17,wlynch
2020-06-18,vdemeest
2020-06-19,andrea.frittoli
2020-06-20,
2020-06-21,
2020-06-22,dibyo
2020-06-23,jerop
2020-06-24,sbws
2020-06-25,wlynch
2020-06-26,vdemeest
2020-06-27,
2020-06-28,
2020-06-29,andrea.frittoli
2020-06-30,dibyo
2020-07-01,vdemeest
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,christiewilson
2020-07-07,sbws
2020-07-08,wlynch
2020-07-09,christiewilson
2020-07-10,jerop
2020-07-11,
2020-07-12,
2020-07-13,sbws
2020-07-14,wlynch
2020-07-15,vdemeest
2020-07-16,andrea.frittoli
2020-07-17,sbws
2020-07-18,
2020-07-19,
2020-07-20,christiewilson
2020-07-21,jerop
2020-07-22,sbws
2020-07-23,wlynch
2020-07-24,vdemeest
2020-07-25,
2020-07-26,
2020-07-27,andrea.frittoli
2020-07-28,dibyo
2020-07-29,christiewilson
2020-07-30,jerop
2020-07-31,sbws
2020-08-01,
2020-08-02,
2020-08-03,wlynch
2020-08-04,vdemeest
2020-08-05,andrea.frittoli
2020-08-06,dibyo
2020-08-07,christiewilson
2020-08-08,
2020-08-09,
2020-08-10,jerop
2020-08-11,sbws
2020-08-12,wlynch
2020-08-13,vdemeest
2020-08-14,andrea.frittoli
2020-08-15,
2020-08-16,
2020-08-17,dibyo
2020-08-18,christiewilson
2020-08-19,jerop
2020-08-20,sbws
2020-08-21,wlynch
2020-08-22,
2020-08-23,
2020-08-24,vdemeest
2020-08-25,andrea.frittoli
2020-08-26,dibyo
2020-08-27,christiewilson
2020-08-28,jerop
2020-08-29,
2020-08-30,
2020-08-31,sbws
2020-09-01,wlynch
2020-09-02,vdemeest
2020-09-03,andrea.frittoli
2020-09-04,dibyo
2020-09-05,
2020-09-06,
2020-09-07,christiewilson
2020-09-08,jerop
2020-09-09,sbws
2020-09-10,wlynch
2020-09-11,vdemeest
2020-09-12,
2020-09-13,
2020-09-14,andrea.frittoli
2020-09-15,dibyo
2020-09-16,christiewilson
2020-09-17,jerop
2020-09-18,sbws
2020-09-19,
2020-09-20,
2020-09-21,wlynch
2020-09-22,vdemeest
2020-09-23,andrea.frittoli
2020-09-24,dibyo
2020-09-25,christiewilson
2020-09-26,
2020-09-27,
2020-09-28,jerop
2020-09-29,sbws
2020-09-30,wlynch
2020-10-01,vdemeest
2020-10-02,andrea.frittoli
2020-10-03,
2020-10-04,
2020-10-05,dibyo
2020-10-06,christiewilson
2020-10-07,jerop
2020-10-08,sbws
2020-10-09,wlynch
2020-10-10,
2020-10-11,
2020-10-12,vdemeest
2020-10-13,andrea.frittoli
2020-10-14,dibyo
2020-10-15,christiewilson
2020-10-16,jerop
2020-10-17,
2020-10-18,
2020-10-19,sbws
2020-10-20,wlynch
2020-10-21,vdemeest
2020-10-22,andrea.frittoli
2020-10-23,dibyo
2020-10-24,
2020-10-25,
2020-10-26,christiewilson
2020-10-27,jerop
2020-10-28,sbws
2020-10-29,wlynch
2020-10-30,vdemeest
2020-10-31,
2020-11-01,
2020-11-02,andrea.frittoli
2020-11-03,dibyo
2020-11-04,christiewilson
2020-11-05,jerop
2020-11-06,sbws
2020-11-07,
2020-11-08,
2020-11-09,wlynch
2020-11-10,vdemeest
2020-11-11,andrea.frittoli
2020-11-12,dibyo
2020-11-13,christiewilson
2020-11-14,
2020-11-15,
2020-11-16,jerop
2020-11-17,sbws
2020-11-18,wlynch
2020-11-19,vdemeest
2020-11-20,andrea.frittoli
2020-11-21,
2020-11-22,
2020-11-23,dibyo
2020-11-24,christiewilson
2020-11-25,jerop
2020-11-26,sbws
2020-11-27,wlynch
2020-11-28,
2020-11-29,
2020-11-30,vdemeest
2020-12-01,andrea.frittoli
2020-12-02,dibyo
2020-12-03,christiewilson
2020-12-04,jerop
2020-12-05,
2020-12-06,
2020-12-07,sbws
2020-12-08,wlynch
2020-12-09,vdemeest
2020-12-10,andrea.frittoli
2020-12-11,dibyo
2020-12-12,
2020-12-13,
2020-12-14,christiewilson
2020-12-15,jerop
2020-12-16,sbws
2020-12-17,wlynch
2020-12-18,vdemeest
2020-12-19,
2020-12-20,
2020-12-21,andrea.frittoli
2020-12-22,dibyo
2020-12-23,christiewilson
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
